place_id,official_name,map_id,preferred_url,map_title,qa_note
P398,믹마스,GOOGLE-FALLBACK-P398,https://www.google.com/maps/search/?api=1&query=%EB%AF%B9%EB%A7%88%EC%8A%A4,Google Maps 검색: 믹마스,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P399,믹마스,GOOGLE-FALLBACK-P399,https://www.google.com/maps/search/?api=1&query=%EB%AF%B9%EB%A7%88%EC%8A%A4,Google Maps 검색: 믹마스,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P400,라마 나욧,GOOGLE-FALLBACK-P400,https://www.google.com/maps/search/?api=1&query=%EB%9D%BC%EB%A7%88%20%EB%82%98%EC%9A%A7,Google Maps 검색: 라마 나욧,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P401,하길라산,GOOGLE-FALLBACK-P401,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EA%B8%B8%EB%9D%BC%EC%82%B0,Google Maps 검색: 하길라산,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P402,바할림,GOOGLE-FALLBACK-P402,https://www.google.com/maps/search/?api=1&query=%EB%B0%94%ED%95%A0%EB%A6%BC,Google Maps 검색: 바할림,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P403,아벨 벧마아가,GOOGLE-FALLBACK-P403,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%B2%A8%20%EB%B2%A7%EB%A7%88%EC%95%84%EA%B0%80,Google Maps 검색: 아벨 벧마아가,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P404,기브온 못,GOOGLE-FALLBACK-P404,https://www.google.com/maps/search/?api=1&query=%EA%B8%B0%EB%B8%8C%EC%98%A8%20%EB%AA%BB,Google Maps 검색: 기브온 못,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P406,아라우나 타작마당,GOOGLE-FALLBACK-P406,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%9D%BC%EC%9A%B0%EB%82%98%20%ED%83%80%EC%9E%91%EB%A7%88%EB%8B%B9,Google Maps 검색: 아라우나 타작마당,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P408,엔로겔,GOOGLE-FALLBACK-P408,https://www.google.com/maps/search/?api=1&query=%EC%97%94%EB%A1%9C%EA%B2%94,Google Maps 검색: 엔로겔,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P410,담방,GOOGLE-FALLBACK-P410,https://www.google.com/maps/search/?api=1&query=%EB%8B%B4%EB%B0%A9,Google Maps 검색: 담방,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P411,호렙산 동굴,GOOGLE-FALLBACK-P411,https://www.google.com/maps/search/?api=1&query=%ED%98%B8%EB%A0%99%EC%82%B0%20%EB%8F%99%EA%B5%B4,Google Maps 검색: 호렙산 동굴,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P412,나봇의 포도원,GOOGLE-FALLBACK-P412,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EB%B4%87%EC%9D%98%20%ED%8F%AC%EB%8F%84%EC%9B%90,Google Maps 검색: 나봇의 포도원,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P413,바알 살리사,GOOGLE-FALLBACK-P413,https://www.google.com/maps/search/?api=1&query=%EB%B0%94%EC%95%8C%20%EC%82%B4%EB%A6%AC%EC%82%AC,Google Maps 검색: 바알 살리사,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P414,디브온,GOOGLE-FALLBACK-P414,https://www.google.com/maps/search/?api=1&query=%EB%94%94%EB%B8%8C%EC%98%A8,Google Maps 검색: 디브온,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P415,스바,GOOGLE-FALLBACK-P415,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%EB%B0%94,Google Maps 검색: 스바,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P416,오빌,GOOGLE-FALLBACK-P416,https://www.google.com/maps/search/?api=1&query=%EC%98%A4%EB%B9%8C,Google Maps 검색: 오빌,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P418,욥바 항구,GOOGLE-FALLBACK-P418,https://www.google.com/maps/search/?api=1&query=%EC%9A%A5%EB%B0%94%20%ED%95%AD%EA%B5%AC,Google Maps 검색: 욥바 항구,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P419,울래 강가,GOOGLE-FALLBACK-P419,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EB%9E%98%20%EA%B0%95%EA%B0%80,Google Maps 검색: 울래 강가,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
P425,벳새다 광야,GOOGLE-FALLBACK-P425,https://www.google.com/maps/search/?api=1&query=%EB%B2%B3%EC%83%88%EB%8B%A4%20%EA%B4%91%EC%95%BC,Google Maps 검색: 벳새다 광야,BMPI/사용자 제공 외부 URL이 없는 경우 현대 위치 확인용 Google Maps 검색 fallback.
